Ticker,date,Open,High,Low,Close,Volume,Adj.Close,Dollar.chg,Pct.chg,Volatility,RISE
FISV,3/20/2017,117.910004,117.949997,116.32,116.699997,779400,116.699997,-1.210007,-0.010262123,0.013967413,0
FISV,3/21/2017,117.120003,117.309998,115.519997,116.160004,1374200,116.160004,-0.959999,-0.008196713,0.015409788,0
FISV,3/22/2017,113.290001,116.449997,113.290001,115.879997,1362500,115.879997,2.589996,0.022861647,0.027269555,1
FISV,3/23/2017,115.739998,116.519997,115.059998,115.849998,839800,115.849998,0.11,0.000950406,0.012602495,1
FISV,3/24/2017,116.099998,116.540001,115.489998,115.940002,704400,115.940002,-0.159996,-0.001378088,0.009056434,0
GD,3/15/2017,190.080002,192,189.75,191.660004,982000,191.660004,1.580002,0.0083123,0.011739539,1
GD,3/16/2017,191.970001,192.179993,189.919998,190.649994,1082600,190.649994,-1.320007,-0.006876111,0.011854157,0
GD,3/17/2017,191.309998,194,190.899994,193.270004,1795800,193.270004,1.960006,0.010245183,0.016039768,1
GD,3/20/2017,193.199997,193.649994,191.770004,191.979996,905200,191.979996,-1.220001,-0.006314705,0.009792635,0
GD,3/21/2017,192.350006,193.160004,188.25,188.690002,1261600,188.690002,-3.660004,-0.019027834,0.026021538,0
GD,3/22/2017,188.880005,190.130005,187.949997,189.600006,833500,189.600006,0.720001,0.003811949,0.011497932,1
GD,3/23/2017,189.539993,190.610001,189.009995,189.559998,794500,189.559998,0.020005,0.000105545,0.008440631,1
GD,3/24/2017,189.539993,189.899994,186.350006,187.520004,1490200,187.520004,-2.019989,-0.010657323,0.01893125,0
GE,3/15/2017,29.549999,29.83,29.469999,29.76,24599100,29.76,0.210001,0.007106633,0.012096808,1
GE,3/16/2017,29.799999,29.82,29.620001,29.75,20934400,29.75,-0.049999,-0.001677819,0.006722655,0
GE,3/17/2017,29.85,30.040001,29.77,29.879999,42988000,29.879999,0.029999,0.001004992,0.009036178,1
GE,3/20/2017,29.9,29.92,29.690001,29.74,17046500,29.74,-0.16,-0.005351171,0.007733658,0
GE,3/21/2017,29.860001,29.860001,29.34,29.389999,26314500,29.389999,-0.470002,-0.015740187,0.017693128,0
GE,3/22/2017,29.559999,29.709999,29.309999,29.530001,25245400,29.530001,-0.029998,-0.001014817,0.013545546,0
GE,3/23/2017,29.5,29.73,29.379999,29.620001,23548000,29.620001,0.120001,0.004067831,0.011816374,1
GE,3/24/2017,29.59,29.809999,29.530001,29.719999,27542300,29.719999,0.129999,0.004393342,0.009421198,1
CINF,3/15/2017,74.330002,75.089996,73.839996,74.949997,598300,74.451528,0.121526,0.001634952,0.016789447,1
CINF,3/16/2017,74.540001,75.290001,74.519997,74.699997,435100,74.203191,-0.33681,-0.004518513,0.010376966,0
CINF,3/17/2017,74.870003,75.330002,74.32,75.18,1542500,74.680002,-0.190001,-0.002537745,0.013524397,0
CINF,3/20/2017,74.620003,74.959999,73.949997,74.220001,396000,74.220001,-0.400002,-0.00536052,0.013608219,0
CINF,3/21/2017,74.550003,74.550003,72.699997,72.779999,603100,72.779999,-1.770004,-0.023742507,0.025419154,0
CINF,3/22/2017,72.5,73.040001,72.059998,72.75,452200,72.75,0.25,0.003448276,0.013470832,1
CINF,3/23/2017,72.769997,73.440002,72.599998,72.739998,282500,72.739998,-0.029999,-0.000412244,0.011548034,0
CINF,3/24/2017,72.800003,72.889999,71.660004,71.879997,510100,71.879997,-0.920006,-0.012637445,0.017111784,0
JCI,3/15/2017,41.119999,42.049999,41.009998,41.93,4746800,41.680238,0.560239,0.01362449,0.024951897,1
JCI,3/16/2017,42.139999,42.450001,41.689999,41.77,5082400,41.521191,-0.618808,-0.014684576,0.018303955,0
JCI,3/17/2017,41.959999,42.060001,41.689999,41.970001,7041200,41.720001,-0.239998,-0.005719686,0.008868696,0
JCI,3/20/2017,41.959999,42.450001,41.779999,42.27,5224700,42.27,0.310001,0.007388013,0.015850532,1
JCI,3/21/2017,42.400002,42.57,41.330002,41.380001,7114000,41.380001,-1.020001,-0.024056626,0.029966118,0
JCI,3/22/2017,41.380001,41.900002,41.110001,41.810001,3972400,41.810001,0.43,0.010391493,0.018895025,1
JCI,3/23/2017,41.73,42.07,41.41,41.5,4278700,41.5,-0.23,-0.005511622,0.015903614,0
