"Ticker","date","Open","High","Low","Close","Volume","Adj.Close","Dollar.chg","Pct.chg","Volatility","RISE","favoriteCount","retweetCount","Score","Positive","Negative","Tweet_Total_Count"
"ALXN","2017-03-22",118.720001,120.220001,118.089996,120.080002,1394600,120.080002,1.360001,0.0114555339331575,0.0177382158937672,1,11,13,4,11,7,30
"ALXN","2017-03-23",119.790001,121.07,119.550003,120.260002,1409900,120.260002,0.470000999999996,0.00392354116434139,0.0126392564004779,1,1,4,4,4,0,10
"ALXN","2017-03-27",117.669998,119.050003,115.580002,118.830002,2398600,118.830002,1.16000399999999,0.00985811183577981,0.0292013880467663,1,32,45,13,23,10,73
"AMAT","2017-03-20",39.330002,39.77,39.209999,39.57,6916900,39.57,0.239998,0.00610216088979604,0.0141521607278241,1,21,25,0,11,11,38
"AMAT","2017-03-21",39.700001,39.810001,38.299999,38.580002,13550100,38.580002,-1.119999,-0.0282115610022277,0.0391395003038102,0,15,9,7,8,1,23
"AMAT","2017-03-22",38.48,38.830002,38.34,38.82,9075700,38.82,0.340000000000003,0.00883575883575892,0.0126224111282843,1,13,6,1,4,3,20
"AMAT","2017-03-23",38.84,39.110001,38.610001,38.849998,6904600,38.849998,0.00999799999999595,0.00025741503604521,0.0128700135325618,1,5,2,-1,3,4,13
"AMAT","2017-03-27",38.450001,39,38.299999,38.860001,6819100,38.860001,0.409999999999997,0.0106631986823615,0.0180134066388727,1,5,7,10,14,4,18
"AME","2017-03-20",54.360001,54.360001,54.02,54.209999,773800,54.209999,-0.150001999999994,-0.00275941863945134,0.00627192411495882,0,6,8,1,1,0,6
"AME","2017-03-21",54.369999,54.450001,53.209999,53.299999,1902000,53.299999,-1.07,-0.0196799709339704,0.0232645782976468,0,1,3,0,0,0,7
"AME","2017-03-22",53.290001,53.529999,52.91,53.360001,1503700,53.360001,0.0700000000000003,0.00131356724876024,0.0116191714464173,1,0,2,4,4,0,9
"AME","2017-03-23",53.259998,53.75,53.130001,53.459999,873700,53.459999,0.200001,0.00375518226643569,0.011597437553263,1,0,0,1,1,0,2
"AME","2017-03-27",52.470001,53.669998,52.419998,53.5,1283600,53.5,1.029999,0.0196302454806509,0.0233644859813084,1,1,2,0,1,1,10
"AMG","2017-03-20",162.940002,163.639999,160.800003,162.029999,404600,162.029999,-0.910002999999989,-0.00558489621228794,0.0175275937636708,0,0,0,0,0,0,5
"AMG","2017-03-21",163.520004,163.520004,158.449997,159.289993,455800,159.289993,-4.23001099999999,-0.0258684619405953,0.0318287853776226,0,2,0,-1,0,1,1
"AMG","2017-03-22",158.589996,160.240005,157.479996,159.220001,394300,159.220001,0.630004999999983,0.00397253935235601,0.0173345621320527,1,0,0,0,0,0,1
"AMG","2017-03-23",159.289993,161.139999,158.100006,158.889999,273300,158.889999,-0.399994000000021,-0.00251110564114358,0.0191326894023077,0,0,0,4,4,0,11
"AMG","2017-03-27",156.149994,159.240005,155.270004,159,311400,159,2.85000600000001,0.0182517202017953,0.0249685597484277,1,0,0,2,4,2,11
"AMGN","2017-03-20",169.630005,169.710007,167.759995,169.240005,5734300,169.240005,-0.390000000000015,-0.00229912154986976,0.0115221693594253,0,139,394,0,89,89,238
"AMGN","2017-03-21",170.050003,170.210007,166.490005,166.850006,4879600,166.850006,-3.199997,-0.0188179767335846,0.0222954861625836,0,63,142,5,49,44,147
